id,label,properties
6505,person,"{""name"":""Sigurður Filippusson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
7133,person,"{""name"":""Jensína Egilsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
9785,person,"{""name"":""Guðni Guðnason (II) bóndi"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
323,person,"{""name"":""Arngrímur Fr. Bjarnason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
1038,person,"{""name"":""Sigtryggur Þorsteinsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
6077,person,"{""name"":""Sagnir undan Eyjafjöllum"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
9850,person,"{""name"":""Stefán Abrahamsson  "",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
617,person,"{""name"":""Kristleifur Þorsteinsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
699,person,"{""name"":""Ásta Jóhannesdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
7638,person,"{""name"":""Sölvi Vigfússon"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11003,person,"{""name"":""Carlotta Catinka Grönvold"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
206,person,"{""name"":""Halldóra Jónsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
10643,person,"{""name"":""Valgerður Hannesdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
8789,person,"{""name"":""Kristján Guðlaugsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4350,person,"{""name"":""Konráð Vilhjálmsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
8615,person,"{""name"":""Ólafur Þórlindsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
12548,person,"{""name"":""Gísli Jónatansson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
8199,person,"{""name"":""Agnes Kolbeinsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
12539,person,"{""name"":""Þorsteinn Árnason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
8402,person,"{""name"":""Helga Rasmusdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2503,person,"{""name"":""Einþór Stefánsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
9064,person,"{""name"":""Guðbjörg Árnadóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2037,person,"{""name"":""Jóhanna Jónasdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
1286,person,"{""name"":""Páll Guttormsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
1435,person,"{""name"":""Hjaltdælingar"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4388,person,"{""name"":""Jón Normann Jónasson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4749,person,"{""name"":""Bergvin Þorláksson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
1756,person,"{""name"":""Jónas Jónasson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
202,person,"{""name"":""Ingibjörg Eggertsdóttir Fjeldsted"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
9163,person,"{""name"":""Guðrún Högnadóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2815,person,"{""name"":""Emilía Guðmundsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
3939,person,"{""name"":""Jakob Jónsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
8546,person,"{""name"":""Torfi Magnússon"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
