src-id,dst-id,label,properties
2319,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5619"",""title"":""Dauði Jóhannesar í Hofstaðaseli"",""__label"":""place-of-narration""}"
3536,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1691"",""title"":""Barnið villta undir Eyjafjöllum"",""__label"":""place-of-narration""}"
4433,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3576"",""title"":""Skupla"",""__label"":""place-of-narration""}"
4139,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_6_3000"",""title"":""Bárður Snæfellsás"",""__label"":""place-of-narration""}"
3981,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3772"",""title"":""Sæluhúsavofan í Tungudal"",""__label"":""place-of-narration""}"
2597,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_710"",""title"":""Þórður sakamaður"",""__label"":""place-of-narration""}"
855,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5445"",""title"":""Dauðaspá séra Björns í Laufási"",""__label"":""place-of-narration""}"
3349,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_245"",""title"":""Presturinn á Borgarhrauni"",""__label"":""place-of-narration""}"
1292,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5656"",""title"":""Gesturinn á Hvammsgluggum"",""__label"":""place-of-narration""}"
3943,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_17_2577"",""title"":""Spásögn Níelsar skálda"",""__label"":""place-of-narration""}"
4261,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5673"",""title"":""„Sefurðu, Bjössi?“"",""__label"":""place-of-narration""}"
401,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_3174"",""title"":""Þáttur af Halli á Horni, Snorra presti og Hallvarði Hallsyni: Snorri prestur barg Hirti þjóf"",""__label"":""place-of-narration""}"
627,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_5_2813"",""title"":""Draumur Guðnýjar Jónsdóttur"",""__label"":""place-of-narration""}"
2865,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_2_2743"",""title"":""Svipur"",""__label"":""place-of-narration""}"
4046,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3571"",""title"":""Aðrar fylgjusögur af Dísu"",""__label"":""place-of-narration""}"
3352,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_244"",""title"":""Reimleiki í Vatnshorni"",""__label"":""place-of-narration""}"
1052,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4_5038"",""title"":""Glamrið í keðjunum III"",""__label"":""place-of-narration""}"
1711,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1821"",""title"":""Barnapollur"",""__label"":""place-of-narration""}"
1826,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4315"",""title"":""Þáttur af Álfa-Grími"",""__label"":""place-of-narration""}"
4507,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4146"",""title"":""Lykillinn"",""__label"":""place-of-narration""}"
